epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2875,1.41582,3.64362,1.19332,0.02098,0.575,0.29846,0.21705,1.25958,3.75035,1.00326,0.000407986,0.000407986,0.000407986
2,29.8677,1.50781,3.36451,1.23931,0.69383,0.32671,0.44755,0.2367,1.64234,2.90162,1.2354,0.000783832,0.000783832,0.000783832
3,44.4707,1.5442,2.73599,1.27352,0.53689,0.56429,0.52411,0.25521,1.52304,2.81165,1.30844,0.00111843,0.00111843,0.00111843
4,59.1645,1.51921,2.37478,1.29414,0.43896,0.63735,0.55766,0.28618,1.51308,2.42451,1.57831,0.00106437,0.00106437,0.00106437
5,73.9024,1.50465,2.33211,1.32556,0.63637,0.80384,0.72055,0.39831,1.46368,2.0718,1.38779,0.0010025,0.0010025,0.0010025
6,89.468,1.48917,2.21313,1.29359,0.73905,0.72857,0.77308,0.45228,1.41808,2.01712,1.29971,0.000940625,0.000940625,0.000940625
7,104.765,1.5201,2.01562,1.28928,0.72361,0.73959,0.73908,0.45351,1.39112,1.86542,1.25081,0.00087875,0.00087875,0.00087875
8,120.304,1.52845,2.0342,1.2723,0.65863,0.82791,0.77663,0.42909,1.48565,1.88407,1.23507,0.000816875,0.000816875,0.000816875
9,135.683,1.48967,1.93181,1.23953,0.65063,0.86229,0.83039,0.51732,1.44053,1.75693,1.224,0.000755,0.000755,0.000755
10,150.935,1.44756,1.81204,1.21144,0.85333,0.79188,0.91878,0.52951,1.38086,1.62464,1.30397,0.000693125,0.000693125,0.000693125
11,166.423,1.35595,2.14709,1.13835,0.79898,0.76378,0.88641,0.53137,1.37375,1.65001,1.30565,0.00063125,0.00063125,0.00063125
12,181.827,1.34719,1.85377,1.19462,0.74445,0.77914,0.8485,0.49878,1.42433,1.71028,1.29145,0.000569375,0.000569375,0.000569375
13,196.993,1.28322,1.62024,1.17571,0.76582,0.7456,0.83402,0.52521,1.37508,1.55768,1.26954,0.0005075,0.0005075,0.0005075
14,212.131,1.36789,1.61507,1.21941,0.70539,0.85838,0.8382,0.56461,1.24891,1.49535,1.18659,0.000445625,0.000445625,0.000445625
15,227.219,1.25723,1.50793,1.12068,0.77322,0.84688,0.86456,0.58751,1.20987,1.3919,1.16672,0.00038375,0.00038375,0.00038375
16,242.929,1.2845,1.4419,1.15211,0.75965,0.86156,0.88128,0.57185,1.21474,1.26157,1.16838,0.000321875,0.000321875,0.000321875
17,258.266,1.26206,1.47945,1.13523,0.84986,0.85047,0.91003,0.60671,1.21482,1.24536,1.16566,0.00026,0.00026,0.00026
18,273.789,1.22044,1.39542,1.10879,0.87997,0.81274,0.93399,0.61179,1.23301,1.2188,1.15082,0.000198125,0.000198125,0.000198125
19,289.061,1.23973,1.45659,1.14885,0.85426,0.80857,0.9287,0.60512,1.23113,1.22087,1.14827,0.00013625,0.00013625,0.00013625
20,304.076,1.16957,1.27301,1.12653,0.8381,0.80541,0.92723,0.62852,1.24353,1.23215,1.14262,7.4375e-05,7.4375e-05,7.4375e-05
